@relation car_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute fuel_type {gas,diesel}
@attribute aspiration {std,turbo}
@attribute num_of_doors {two,four}
@attribute body_style {convertible,hatchback,sedan,wagon,hardtop}
@attribute drive_wheels {rwd,fwd,4wd}
@attribute engine_location {front,rear}
@attribute wheel_base numeric
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute curb_weight numeric
@attribute engine_type {dohc,ohcv,ohc,l,rotor,ohcf,dohcv}
@attribute num_of_cylinders {four,six,five,three,twelve,two,eight}
@attribute engine_size numeric
@attribute fuel_system {mpfi,2bbl,mfi,1bbl,spfi,4bbl,idi,spdi}
@attribute compression_ratio numeric
@attribute horsepower numeric
@attribute peak_rpm numeric
@attribute city_mpg numeric
@attribute highway_mpg numeric
@attribute price numeric
@attribute class {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}

@data
gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,9,68,5000,31,38,6095,mazda
gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,7.6,102,5500,24,30,7957,dodge
gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,7,145,5000,19,24,12629,mitsubishi
gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,9.4,69,5200,31,37,5499,nissan
gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,9,86,5800,27,33,9095,honda
gas,turbo,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,8,175,5000,19,24,16503,mercury
gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,9,62,4800,31,37,6918,toyota
gas,turbo,two,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,7.6,102,5500,24,30,7689,mitsubishi
gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,8.8,101,5800,23,29,16430,bmw
gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,9.3,110,5250,21,28,15040,saab
diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,21,95,4150,25,25,17075,peugot
gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,9.4,69,5200,31,37,7999,nissan
gas,std,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,194,mpfi,9.5,207,5900,17,25,37028,porsche
gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,9.4,69,5200,31,37,8249,nissan
gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,10.1,60,5500,38,42,5399,honda
gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,9.6,70,5400,38,43,6295,chevrolet
gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,8.6,84,4800,26,32,10595,mazda
gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,9.3,110,5250,21,28,12170,saab
gas,std,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,9.1,100,5500,25,31,10345,honda
gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,8.4,97,5000,19,24,16630,peugot
gas,std,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,9.2,76,6000,30,34,6529,honda
gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,9,82,4800,23,29,8013,subaru
gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,9,68,5000,31,38,6695,mazda
gas,std,four,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,9,88,5500,25,31,12290,volkswagen
diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,21,95,4150,28,33,17950,peugot
gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,8.7,73,4400,26,31,7603,subaru
gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,8.5,88,5000,24,30,8921,dodge
gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,9.4,69,5200,31,37,7349,nissan
gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,8.4,97,5000,19,24,11900,peugot
